Date	Split/Skill	Time	CALLSOFFERED	AHT	SLA %	Sch	Needed	Aban Calls	Held Calls
10/07/2025	BlueNet_Premium_EN	00:00:00	30	383	99.0	13	13.0	0	0
10/07/2025	BlueNet_Premium_EN	00:15:00	22	377	99.0	9	9.0	0	0
10/07/2025	BlueNet_Premium_EN	00:30:00	58	372	98.5	24	24.0	0	0
10/07/2025	BlueNet_Premium_EN	00:45:00	13	361	95.3	5	5.0	0	0
10/07/2025	BlueNet_Premium_EN	01:00:00	29	350	97.1	11	11.0	0	0
10/07/2025	BlueNet_Premium_EN	01:15:00	13	331	99.0	5	5.0	0	0
10/07/2025	BlueNet_Premium_EN	01:30:00	27	434	99.0	13	13.0	0	0
10/07/2025	BlueNet_Premium_EN	01:45:00	47	360	99.0	19	19.0	0	0
10/07/2025	BlueNet_Premium_EN	02:00:00	13	378	97.9	5	5.0	0	0
10/07/2025	BlueNet_Premium_EN	02:15:00	13	382	99.0	6	6.0	0	0
10/07/2025	BlueNet_Premium_EN	02:30:00	15	361	99.0	6	6.0	0	0
10/07/2025	BlueNet_Premium_EN	02:45:00	13	357	95.6	5	5.0	0	0
10/07/2025	BlueNet_Premium_EN	03:00:00	34	346	99.0	13	13.0	0	0
10/07/2025	BlueNet_Premium_EN	03:15:00	31	320	99.0	11	11.0	0	0
10/07/2025	BlueNet_Premium_EN	03:30:00	13	406	99.0	6	6.0	0	0
10/07/2025	BlueNet_Premium_EN	03:45:00	13	348	99.0	5	5.0	0	0
10/07/2025	BlueNet_Premium_EN	04:00:00	43	334	95.9	16	16.0	0	0
10/07/2025	BlueNet_Premium_EN	04:15:00	113	397	99.0	50	50.0	1	0
10/07/2025	BlueNet_Premium_EN	04:30:00	45	354	99.0	18	18.0	0	0
10/07/2025	BlueNet_Premium_EN	04:45:00	42	364	99.0	17	17.0	0	0
10/07/2025	BlueNet_Premium_EN	05:00:00	29	349	98.0	11	11.0	0	0
10/07/2025	BlueNet_Premium_EN	05:15:00	75	323	99.0	27	27.0	0	0
10/07/2025	BlueNet_Premium_EN	05:30:00	46	361	99.0	18	18.0	0	0
10/07/2025	BlueNet_Premium_EN	05:45:00	44	359	99.0	18	18.0	0	0
10/07/2025	BlueNet_Premium_EN	06:00:00	96	350	96.9	37	37.0	0	0
10/07/2025	BlueNet_Premium_EN	06:15:00	64	386	99.0	27	27.0	0	0
10/07/2025	BlueNet_Premium_EN	06:30:00	83	378	99.0	35	35.0	0	0
10/07/2025	BlueNet_Premium_EN	06:45:00	97	396	99.0	43	43.0	1	0
10/07/2025	BlueNet_Premium_EN	07:00:00	57	335	97.7	21	21.0	0	0
10/07/2025	BlueNet_Premium_EN	07:15:00	75	375	97.8	31	31.0	1	0
10/07/2025	BlueNet_Premium_EN	07:30:00	132	411	99.0	60	60.0	0	1
10/07/2025	BlueNet_Premium_EN	07:45:00	84	376	99.0	35	35.0	0	0
10/07/2025	BlueNet_Premium_EN	08:00:00	91	376	99.0	38	38.0	0	0
10/07/2025	BlueNet_Premium_EN	08:15:00	98	361	98.4	39	39.0	1	0
10/07/2025	BlueNet_Premium_EN	08:30:00	130	379	99.0	55	55.0	1	0
10/07/2025	BlueNet_Premium_EN	08:45:00	145	338	99.0	54	54.0	0	0
10/07/2025	BlueNet_Premium_EN	09:00:00	119	344	99.0	45	45.0	1	0
10/07/2025	BlueNet_Premium_EN	09:15:00	118	338	98.1	44	44.0	1	0
10/07/2025	BlueNet_Premium_EN	09:30:00	111	349	97.8	43	43.0	1	0
10/07/2025	BlueNet_Premium_EN	09:45:00	138	359	99.0	55	55.0	1	0
10/07/2025	BlueNet_Premium_EN	10:00:00	115	398	99.0	51	51.0	1	0
10/07/2025	BlueNet_Premium_EN	10:15:00	123	389	99.0	53	53.0	0	0
10/07/2025	BlueNet_Premium_EN	10:30:00	162	334	99.0	60	60.0	1	1
